id,submit_time,duration,transmit_time,cpu,memory,disk,ai_accelerator,rely_data
8073,1.0085775665615326,0.5910533184249154,1.0823472428409513,2,317,494,NPU,
7068,1.011217460750323,2.1637247368902464,1.433968871827717,2,384,154,TPU,
9394,1.0166330062946192,1.6594360773957992,0.5600162779067702,1,528,462,TPU,
8669,1.0171547595508559,1.2656579803914725,0.6065859370770947,2,1152,247,NPU,
4060,1.0255574205556446,0.8014316306519097,0.8768257759871781,1,225,382,TPU,
8092,1.0311390786008503,0.9476021743425602,0.6281545839152337,1,584,191,TPU,
8606,1.0419094548179173,1.7131090548914083,0.3704912609649149,1,313,471,NPU,
8226,1.0505418072971202,0.7466887174536696,0.9004023406337829,1,1269,166,NPU,
111,1.0598374501522922,0.908194449841785,1.3828603296019781,2,489,290,GPU,
1149,1.105768917338636,2.5451684897774838,0.42871120775391447,2,1396,410,GPU,
1784,1.1187603777877548,1.0589345070208356,1.5921340672145132,1,1495,202,NPU,
1981,1.1280596532057503,3.379156010228088,1.0820738905903247,2,696,427,GPU,
3748,1.1295697412860983,2.4111420693704186,1.381011093956356,2,1230,401,NPU,
6567,1.1371313325797436,1.6040804127567052,0.5385652419130027,2,1520,217,TPU,
5465,1.1475724665963898,0.5484403074616141,0.447684691470433,1,1522,247,NPU,
968,1.1585775458514544,1.2289882288221032,1.0519980280278238,1,378,173,TPU,
9195,1.210842149235269,0.13319147940070936,0.4635099130459023,2,362,334,GPU,
4193,1.2347125944764985,0.09611685968567754,1.319254340866027,2,778,241,GPU,
2841,1.2392766935272461,2.679319588141806,0.8515819346979157,1,807,306,TPU,
1916,1.2396813334719714,0.7987498578851432,1.3590279923358237,2,1484,481,GPU,
3525,1.269524574761038,1.0065171756784626,0.30540284051142447,1,440,490,GPU,
4204,1.2756935561681106,0.022549664332425307,0.48787010301563405,1,278,493,NPU,
8168,1.2999941060572002,1.6568740343915809,0.35704471760779677,1,312,481,GPU,
3980,1.3046000095193204,0.6763149341855127,1.111805613636494,2,273,208,TPU,
1323,1.3090287581025353,0.2010730373149671,0.38046693079841254,2,1170,227,TPU,
6749,1.3340089017207295,1.9985982591142015,1.5035378070536567,1,527,400,TPU,
1253,1.342383362217773,0.02040136627573628,1.5613806551960991,1,404,107,NPU,
6558,1.3538779402817962,0.23510001552622278,1.5210155074277059,1,723,298,GPU,
3609,1.3624150112396853,3.017253922385049,1.4302864667541584,1,548,457,NPU,
9210,1.3675495898365635,2.941320657810476,0.5050705994486975,2,1494,121,TPU,
5593,1.372133602077684,1.6562624256955587,1.3857757061583194,2,1006,249,GPU,
2827,1.4087322176776194,0.16875377415399354,1.5094469528238537,2,311,491,GPU,
5551,1.4235464728384501,1.2803097406182469,1.0506458670913776,1,1154,232,NPU,
3048,1.4557219690608363,0.033643692328776335,0.8958073310558937,2,1521,494,GPU,
730,1.5285944594782515,2.648795812459461,0.5378003652925325,2,1402,473,TPU,
9978,1.53903123647818,0.03506847444167674,0.5097857987240514,2,396,291,GPU,
938,1.5467249857382648,0.9255816594967077,0.812578965254735,2,576,231,TPU,
7805,1.5505678674229768,1.210551817460254,1.517015147045822,1,1209,241,NPU,
3612,1.5568401362467479,1.0592310050369305,0.4457929011689883,2,1166,174,GPU,
6459,1.5601566694680056,2.8397316176887633,1.0509703550644132,2,650,211,NPU,
411,1.5631458764051307,2.1634575619770455,1.220537917159703,2,504,341,GPU,
3443,1.5671235279738214,1.521070054580559,0.5532046282324476,2,1002,433,GPU,
6275,1.5671411575787002,1.2673177970821277,0.8754940014189189,1,798,116,NPU,
5282,1.5833664262302307,1.7506136670539656,0.6093519356240994,2,797,128,NPU,
5903,1.604016849257885,0.13364474883243369,0.9600998789531094,2,1061,336,TPU,
3397,1.6052383339597525,1.7151320832237524,1.5782384386146686,2,1143,426,GPU,
4962,1.6102213242645549,3.292024698465433,0.30845859707188195,2,1225,413,GPU,
5206,1.6259638592450107,0.9849705244174586,0.4981824353185652,1,935,213,TPU,
530,1.6369077017267033,0.8449609744797947,0.6408253942866352,2,767,156,TPU,
2158,1.648033049660379,1.4180159925432174,1.26248760607632,1,1516,404,NPU,
1922,1.7251358911872035,0.009783762978922257,0.856363142275096,2,612,401,NPU,
2793,1.7274189689594963,1.053675268908932,0.4866142048101848,2,1485,204,NPU,
2748,1.7302175739591314,0.10637338218599096,1.1667976353365135,1,908,399,TPU,
6416,1.7348468085493391,0.03768532371359121,0.5945895488324215,1,957,167,GPU,
635,1.7448796756978937,1.17878504184152,0.3624732543761551,2,323,163,NPU,
6291,1.753134542934946,0.6027031157446866,0.3156752611905674,1,505,234,NPU,
4211,1.7788688856611024,1.050818400408254,0.6008972304918314,1,451,448,TPU,
6427,1.7811087612748677,0.29611332644136495,1.4110075539141862,2,1482,250,NPU,
6854,1.7820803303209183,0.10631032366642677,0.38575312019955,1,1513,253,GPU,
